"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","128","test_TC294_actualizar_grupo_clientes_sin_autenticacion","tests.customer.groups","Fri Nov 07 21:58:26 UTC 2025","passed","Fri Nov 07 21:58:26 UTC 2025","","test_PUT_CustomerGroup","",""
"","141","test_TC292_actualizar_grupo_clientes_valores_null","tests.customer.groups","Fri Nov 07 21:58:25 UTC 2025","passed","Fri Nov 07 21:58:25 UTC 2025","","test_PUT_CustomerGroup","",""
"","284","test_TC298_verificar_headers_respuesta_eliminacion","tests.customer.groups","Fri Nov 07 21:58:10 UTC 2025","passed","Fri Nov 07 21:58:10 UTC 2025","","test_DELETE_CustomerGroup","",""
"","432","test_TC363_398_No_permitir_campos_vacios[invalid_payload0-Please enter tax category name.-422]","tests.configuration.tax_categories","Fri Nov 07 21:57:38 UTC 2025","passed","Fri Nov 07 21:57:39 UTC 2025","","test_PUT_TaxCategory","",""
"","0","test_TC199_crear_tax_rate_con_includedInPrice_invalido[-400-BUG: La app permite espacios vac\xedos]","tests.configuration.tax_rates","Fri Nov 07 21:57:56 UTC 2025","skipped","Fri Nov 07 21:57:56 UTC 2025","","test_POST_TaxRates","",""
"","222","test_TC04_Auth_fallido_con_password_invalida","tests.login","Fri Nov 07 21:58:27 UTC 2025","passed","Fri Nov 07 21:58:27 UTC 2025","","test_POST_LoginAdmin","",""
"","138","test_TC05_Auth_fallido_con_crendenciales_vacias","tests.login","Fri Nov 07 21:58:27 UTC 2025","passed","Fri Nov 07 21:58:27 UTC 2025","","test_POST_LoginAdmin","",""
"","148","test_TC67_description_vacio","tests.configuration.tax_categories","Fri Nov 07 21:57:35 UTC 2025","passed","Fri Nov 07 21:57:35 UTC 2025","","test_POST_TaxCategory","",""
"","426","test_TC363_398_No_permitir_campos_vacios[invalid_payload2-The type of the ""name"" attribute must be ""string""-400]","tests.configuration.tax_categories","Fri Nov 07 21:57:40 UTC 2025","passed","Fri Nov 07 21:57:40 UTC 2025","","test_PUT_TaxCategory","",""
"","144","test_TC198_verificar_headers_respuesta","tests.customer.groups","Fri Nov 07 21:58:16 UTC 2025","passed","Fri Nov 07 21:58:16 UTC 2025","","test_GET_Customer_Group","",""
"","146","test_TC293_actualizar_grupo_clientes_codigo_invalido","tests.customer.groups","Fri Nov 07 21:58:25 UTC 2025","passed","Fri Nov 07 21:58:25 UTC 2025","","test_PUT_CustomerGroup","",""
"","145","test_crear_grupo_clientes_caracteres_especiales_en_nombre[HTML tags-<script>alert()</script>-True]","tests.customer.groups","Fri Nov 07 21:58:21 UTC 2025","skipped","Fri Nov 07 21:58:21 UTC 2025","","test_POST_CustomerGroup","",""
"","122","test_TC229_eliminar_tax_rate_con_headers_incorrectos","tests.configuration.tax_rates","Fri Nov 07 21:57:50 UTC 2025","passed","Fri Nov 07 21:57:50 UTC 2025","","test_DELETE_TaxRates","",""
"","133","test_TC400_actualizacion_tax_category_sin_permisos","tests.configuration.tax_categories","Fri Nov 07 21:57:44 UTC 2025","passed","Fri Nov 07 21:57:44 UTC 2025","","test_PUT_TaxCategory","",""
"","727","test_TC334_e2e_customer_group","tests.customer.groups","Fri Nov 07 21:58:14 UTC 2025","passed","Fri Nov 07 21:58:14 UTC 2025","","test_E2E_CustomerGroup","",""
"","302","test_TC194_crear_tax_rate_con_codigo_duplicado","tests.configuration.tax_rates","Fri Nov 07 21:57:54 UTC 2025","passed","Fri Nov 07 21:57:54 UTC 2025","","test_POST_TaxRates","",""
"","146","test_TC235_verificar_codigo_respuesta_200_OK","tests.configuration.tax_categories","Fri Nov 07 21:57:31 UTC 2025","passed","Fri Nov 07 21:57:31 UTC 2025","","test_GET_TaxCatergoryList","",""
"","441","test_TC397_Actualizar_nombre_caracter_especial_tax_category","tests.configuration.tax_categories","Fri Nov 07 21:57:42 UTC 2025","passed","Fri Nov 07 21:57:43 UTC 2025","","test_PUT_TaxCategory","",""
"","152","test_TC234_actualizar_con_nombres_invalidos_parametrizado[Tax\\nRate\\tWith\\rChars-caracteres de control-False]","tests.configuration.tax_rates","Fri Nov 07 21:58:04 UTC 2025","passed","Fri Nov 07 21:58:04 UTC 2025","","test_PUT_TaxRates","",""
"","309","test_TC76_eliminar_TaxCategories_inexistente","tests.configuration.tax_categories","Fri Nov 07 21:57:24 UTC 2025","passed","Fri Nov 07 21:57:24 UTC 2025","","test_DELETE_TaxCategory","",""
"","149","test_TC235_actualizar_con_amounts_invalidos[-1.0--100%]","tests.configuration.tax_rates","Fri Nov 07 21:58:08 UTC 2025","passed","Fri Nov 07 21:58:09 UTC 2025","","test_PUT_TaxRates","",""
"","327","test_TC342_eliminar_TaxCategory_concurrente","tests.configuration.tax_categories","Fri Nov 07 21:57:29 UTC 2025","passed","Fri Nov 07 21:57:29 UTC 2025","","test_DELETE_TaxCategory","",""
"","442","test_TC363_398_No_permitir_campos_vacios[invalid_payload3-None-200]","tests.configuration.tax_categories","Fri Nov 07 21:57:40 UTC 2025","passed","Fri Nov 07 21:57:41 UTC 2025","","test_PUT_TaxCategory","",""
"","292","test_TC300_eliminar_mismo_grupo_dos_veces","tests.customer.groups","Fri Nov 07 21:58:11 UTC 2025","passed","Fri Nov 07 21:58:11 UTC 2025","","test_DELETE_CustomerGroup","",""
"","151","test_TC272_verificar_estructura_json_actualizar_grupo_clientes","tests.customer.groups","Fri Nov 07 21:58:22 UTC 2025","passed","Fri Nov 07 21:58:22 UTC 2025","","test_PUT_CustomerGroup","",""
"","140","test_TC294_eliminar_grupo_codigo_inexistente","tests.customer.groups","Fri Nov 07 21:58:09 UTC 2025","passed","Fri Nov 07 21:58:09 UTC 2025","","test_DELETE_CustomerGroup","",""
"","161","test_TC208_actualizar_con_codigo_inexistente","tests.configuration.tax_rates","Fri Nov 07 21:57:58 UTC 2025","passed","Fri Nov 07 21:57:58 UTC 2025","","test_PUT_TaxRates","",""
"","150","test_TC430_crear_grupo_clientes_nombre_2_caracteres","tests.customer.groups","Fri Nov 07 21:58:19 UTC 2025","passed","Fri Nov 07 21:58:19 UTC 2025","","test_POST_CustomerGroup","",""
"","1235","test_TC341_eliminar_multiples_TaxCategory_secuencialmente","tests.configuration.tax_categories","Fri Nov 07 21:57:28 UTC 2025","passed","Fri Nov 07 21:57:29 UTC 2025","","test_DELETE_TaxCategory","",""
"","128","test_TC240_verificar_respuesta_token_invalido_o_sin_autenticacion","tests.configuration.tax_categories","Fri Nov 07 21:57:32 UTC 2025","passed","Fri Nov 07 21:57:32 UTC 2025","","test_GET_TaxCatergoryList","",""
"","146","test_TC221_tax_category_nombre_espacio_en_blanco[ \t \n ]","tests.configuration.tax_categories","Fri Nov 07 21:57:37 UTC 2025","skipped","Fri Nov 07 21:57:37 UTC 2025","","test_POST_TaxCategory","",""
"","293","test_TC363_398_No_permitir_campos_vacios[invalid_payload4-solo dato invalido.-400]","tests.configuration.tax_categories","Fri Nov 07 21:57:41 UTC 2025","skipped","Fri Nov 07 21:57:41 UTC 2025","","test_PUT_TaxCategory","",""
"","154","test_TC234_actualizar_con_nombres_invalidos_parametrizado[<script>alert('xss')</script>Tax-HTML/JavaScript-False]","tests.configuration.tax_rates","Fri Nov 07 21:58:02 UTC 2025","passed","Fri Nov 07 21:58:03 UTC 2025","","test_PUT_TaxRates","",""
"","242","test_TC01_Auth_exitoso_con_credenciales_validas","tests.login","Fri Nov 07 21:58:26 UTC 2025","passed","Fri Nov 07 21:58:26 UTC 2025","","test_POST_LoginAdmin","",""
"","153","test_TC213_verificar_formato_jsonld_tax_rates","tests.configuration.tax_rates","Fri Nov 07 21:57:52 UTC 2025","passed","Fri Nov 07 21:57:52 UTC 2025","","test_GET_TaxRates","",""
"","751","test_full_tax_category_crud_flow","tests.configuration.tax_categories","Fri Nov 07 21:57:30 UTC 2025","passed","Fri Nov 07 21:57:31 UTC 2025","","test_E2E_CRUD_TaxCategory","",""
"","153","test_TC234_actualizar_con_nombres_invalidos_parametrizado[\xd1o\xf1o Caf\xe9 na\xefve-caracteres Unicode especiales-False]","tests.configuration.tax_rates","Fri Nov 07 21:58:05 UTC 2025","passed","Fri Nov 07 21:58:05 UTC 2025","","test_PUT_TaxRates","",""
"","152","test_crear_grupo_clientes_caracteres_especiales_en_nombre[Solo n\xfameros-123456-False]","tests.customer.groups","Fri Nov 07 21:58:19 UTC 2025","passed","Fri Nov 07 21:58:20 UTC 2025","","test_POST_CustomerGroup","",""
"","153","test_TC216_validar_paginacion_basica_tax_rate","tests.configuration.tax_rates","Fri Nov 07 21:57:52 UTC 2025","passed","Fri Nov 07 21:57:53 UTC 2025","","test_GET_TaxRates","",""
"","145","test_TC291_actualizar_grupo_clientes_nombre_minimo","tests.customer.groups","Fri Nov 07 21:58:24 UTC 2025","passed","Fri Nov 07 21:58:24 UTC 2025","","test_PUT_CustomerGroup","",""
"","149","test_TC195_crear_tax_rate_sin_nombre","tests.configuration.tax_rates","Fri Nov 07 21:57:54 UTC 2025","passed","Fri Nov 07 21:57:54 UTC 2025","","test_POST_TaxRates","",""
"","137","test_TC308_verificar_respuesta_eliminar_grupo_vacia","tests.customer.groups","Fri Nov 07 21:58:13 UTC 2025","passed","Fri Nov 07 21:58:13 UTC 2025","","test_DELETE_CustomerGroup","",""
"","0","test_TC197_crear_tax_rate_con_amount_invalido[None-400-BUG: La app permite valores nulos]","tests.configuration.tax_rates","Fri Nov 07 21:57:55 UTC 2025","skipped","Fri Nov 07 21:57:55 UTC 2025","","test_POST_TaxRates","",""
"","473","test_TC75_eliminar_TaxCategory","tests.configuration.tax_categories","Fri Nov 07 21:57:24 UTC 2025","passed","Fri Nov 07 21:57:24 UTC 2025","","test_DELETE_TaxCategory","",""
"","148","test_TC418_crear_tax_category_sin_code","tests.configuration.tax_categories","Fri Nov 07 21:57:37 UTC 2025","passed","Fri Nov 07 21:57:37 UTC 2025","","test_POST_TaxCategory","",""
"","142","test_TC21_validar_caracteres_especiales_en_code","tests.configuration.tax_categories","Fri Nov 07 21:57:35 UTC 2025","passed","Fri Nov 07 21:57:35 UTC 2025","","test_POST_TaxCategory","",""
"","154","test_TC290_verificar_headers_respuesta_actualizar_grupo_clientes","tests.customer.groups","Fri Nov 07 21:58:24 UTC 2025","passed","Fri Nov 07 21:58:24 UTC 2025","","test_PUT_CustomerGroup","",""
"","139","test_TC223_eliminar_tax_rate_inexistente","tests.configuration.tax_rates","Fri Nov 07 21:57:47 UTC 2025","passed","Fri Nov 07 21:57:47 UTC 2025","","test_DELETE_TaxRates","",""
"","143","test_TC201_crear_tax_rate_sin_zone","tests.configuration.tax_rates","Fri Nov 07 21:57:56 UTC 2025","passed","Fri Nov 07 21:57:56 UTC 2025","","test_POST_TaxRates","",""
"","144","test_TC180_verificar_campos_no_vacios","tests.customer.groups","Fri Nov 07 21:58:15 UTC 2025","passed","Fri Nov 07 21:58:15 UTC 2025","","test_GET_Customer_Group","",""
"","151","test_TC173_crear_grupo_clientes_codigo_1_caracter","tests.customer.groups","Fri Nov 07 21:58:18 UTC 2025","passed","Fri Nov 07 21:58:19 UTC 2025","","test_POST_CustomerGroup","",""
"","283","test_TC396_Actualizar_sin_campos_obligatorios_tax_category","tests.configuration.tax_categories","Fri Nov 07 21:57:42 UTC 2025","skipped","Fri Nov 07 21:57:42 UTC 2025","","test_PUT_TaxCategory","",""
"","138","test_TC220_tax_category_nombre_exedente_maximo_length","tests.configuration.tax_categories","Fri Nov 07 21:57:36 UTC 2025","passed","Fri Nov 07 21:57:36 UTC 2025","","test_POST_TaxCategory","",""
"","140","test_TC178_obtener_grupo_por_codigo_existente","tests.customer.groups","Fri Nov 07 21:58:15 UTC 2025","passed","Fri Nov 07 21:58:15 UTC 2025","","test_GET_Customer_Group","",""
"","299","test_TC155_crear_grupo_clientes_codigo_duplicado","tests.customer.groups","Fri Nov 07 21:58:17 UTC 2025","passed","Fri Nov 07 21:58:17 UTC 2025","","test_POST_CustomerGroup","",""
"","175","test_TC206_actualizar_tax_rate_valido","tests.configuration.tax_rates","Fri Nov 07 21:57:57 UTC 2025","passed","Fri Nov 07 21:57:58 UTC 2025","","test_PUT_TaxRates","",""
"","159","test_TC198_crear_tax_rate_con_amounts_extremos[999.99-tax_rate_muy_alto]","tests.configuration.tax_rates","Fri Nov 07 21:57:55 UTC 2025","passed","Fri Nov 07 21:57:55 UTC 2025","","test_POST_TaxRates","",""
"","150","test_TC197_crear_tax_rate_con_amount_invalido[-1.0-422-None]","tests.configuration.tax_rates","Fri Nov 07 21:57:55 UTC 2025","passed","Fri Nov 07 21:57:55 UTC 2025","","test_POST_TaxRates","",""
"","130","test_TC79_requerimiento_autenticacion_eliminar_TaxCategory","tests.configuration.tax_categories","Fri Nov 07 21:57:25 UTC 2025","passed","Fri Nov 07 21:57:26 UTC 2025","","test_DELETE_TaxCategory","",""
"","141","test_TC221_tax_category_nombre_espacio_en_blanco[   ]","tests.configuration.tax_categories","Fri Nov 07 21:57:36 UTC 2025","skipped","Fri Nov 07 21:57:36 UTC 2025","","test_POST_TaxCategory","",""
"","456","test_TC339_eliminar_TaxCategory_verificar_no_existe","tests.configuration.tax_categories","Fri Nov 07 21:57:27 UTC 2025","passed","Fri Nov 07 21:57:27 UTC 2025","","test_DELETE_TaxCategory","",""
"","147","test_crear_grupo_clientes_caracteres_especiales_en_nombre[Con acentos-Mar\xeda Jos\xe9 Ni\xf1o-False]","tests.customer.groups","Fri Nov 07 21:58:21 UTC 2025","passed","Fri Nov 07 21:58:21 UTC 2025","","test_POST_CustomerGroup","",""
"","511","test_TC361_Editar_Actualizacion_completa_campos_validos","tests.configuration.tax_categories","Fri Nov 07 21:57:37 UTC 2025","passed","Fri Nov 07 21:57:37 UTC 2025","","test_PUT_TaxCategory","",""
